Bin Center, Count
1.1405, 622
1.1415, 635
1.1425, 609
1.1435, 628
1.1445, 585
1.1455, 624
1.1465, 596
1.1475, 605
1.1485, 569
1.1495, 552
1.1505, 524
1.1515, 568
1.1525, 563
1.1535, 528
1.1545, 543
1.1555, 540
1.1565, 526
1.1575, 448
1.1585, 484
1.1595, 475
1.1605, 467
1.1615, 438
1.1625, 466
1.1635, 467
1.1645, 440
1.1655, 441
1.1665, 433
1.1675, 453
1.1685, 414
1.1695, 380
1.1705, 414
1.1715, 433
1.1725, 383
1.1735, 387
1.1745, 391
1.1755, 419
1.1765, 398
1.1775, 376
1.1785, 341
1.1795, 366
1.1805, 350
1.1815, 351
1.1825, 378
1.1835, 369
1.1845, 367
1.1855, 407
1.1865, 349
1.1875, 350
1.1885, 374
1.1895, 326
1.1905, 308
1.1915, 353
1.1925, 350
1.1935, 306
1.1945, 322
1.1955, 339
1.1965, 346
1.1975, 322
1.1985, 325
1.1995, 311
1.2005, 322
1.2015, 325
1.2025, 322
1.2035, 281
1.2045, 289
1.2055, 322
1.2065, 325
1.2075, 321
1.2085, 272
1.2095, 308
1.2105, 308
1.2115, 319
1.2125, 283
1.2135, 307
1.2145, 290
1.2155, 323
1.2165, 277
1.2175, 300
1.2185, 300
1.2195, 322
1.2205, 271
1.2215, 300
1.2225, 264
1.2235, 295
1.2245, 314
1.2255, 289
1.2265, 303
1.2275, 298
1.2285, 295
1.2295, 286
1.2305, 293
1.2315, 296
1.2325, 278
1.2335, 294
1.2345, 293
1.2355, 266
1.2365, 269
1.2375, 300
1.2385, 287
1.2395, 279
1.2405, 259
1.2415, 303
1.2425, 287
1.2435, 253
1.2445, 289
1.2455, 290
1.2465, 304
1.2475, 300
1.2485, 274
1.2495, 274
1.2505, 272
1.2515, 291
1.2525, 258
1.2535, 258
1.2545, 285
1.2555, 277
1.2565, 268
1.2575, 241
1.2585, 276
1.2595, 275
1.2605, 257
1.2615, 242
1.2625, 269
1.2635, 279
1.2645, 329
1.2655, 254
1.2665, 233
1.2675, 217
1.2685, 259
1.2695, 264
1.2705, 252
1.2715, 268
1.2725, 259
1.2735, 255
1.2745, 118797
1.2755, 331
1.2765, 358
1.2775, 343
1.2785, 375
1.2795, 369
1.2805, 381
1.2815, 372
1.2825, 318
1.2835, 339
1.2845, 354
1.2855, 337
1.2865, 348
1.2875, 352
1.2885, 342
1.2895, 350
1.2905, 322
1.2915, 311
1.2925, 385
1.2935, 352
1.2945, 353
1.2955, 313
1.2965, 338
1.2975, 342
1.2985, 336
1.2995, 322
1.3005, 333
1.3015, 334
1.3025, 346
1.3035, 350
1.3045, 331
1.3055, 359
1.3065, 368
1.3075, 367
1.3085, 340
1.3095, 312
1.3105, 305
1.3115, 338
1.3125, 341
1.3135, 295
1.3145, 328
1.3155, 331
1.3165, 327
1.3175, 328
1.3185, 312
1.3195, 286
1.3205, 315
1.3215, 333
1.3225, 328
1.3235, 338
1.3245, 299
1.3255, 313
1.3265, 315
1.3275, 305
1.3285, 337
1.3295, 324
1.3305, 317
1.3315, 303
1.3325, 543
1.3335, 325
1.3345, 779
1.3355, 314
1.3365, 310
1.3375, 305
1.3385, 310
1.3395, 313
1.3405, 321
1.3415, 502
1.3425, 334
1.3435, 351
1.3445, 352
1.3455, 314
1.3465, 296
1.3475, 315
1.3485, 324
1.3495, 310
1.3505, 314
1.3515, 283
1.3525, 334
1.3535, 279
1.3545, 302
1.3555, 292
1.3565, 305
1.3575, 288
1.3585, 308
1.3595, 294
1.3605, 298
1.3615, 322
1.3625, 286
1.3635, 286
1.3645, 285
1.3655, 301
1.3665, 282
1.3675, 298
1.3685, 315
1.3695, 287
1.3705, 277
1.3715, 261
1.3725, 282
1.3735, 283
1.3745, 280
1.3755, 297
1.3765, 290
1.3775, 271
1.3785, 266
1.3795, 275
1.3805, 319
1.3815, 271
1.3825, 273
1.3835, 313
1.3845, 268
1.3855, 279
1.3865, 280
1.3875, 289
1.3885, 292
1.3895, 275
1.3905, 250
1.3915, 267
1.3925, 249
1.3935, 260
1.3945, 229
1.3955, 274
1.3965, 254
1.3975, 249
1.3985, 235
1.3995, 262
1.4005, 253
1.4015, 232
1.4025, 255
